,Topic,Word,P
0,0,giants,0.018543675541877747
1,0,toronto_raptors,0.011452051810920238
2,0,north,0.009731857106089592
3,0,fast,0.009174366481602192
4,0,climate,0.008977396413683891
5,0,saturday,0.008924663066864014
6,0,syria,0.008329329080879688
7,0,time,0.007624925579875708
8,0,vince_carter,0.0076117729768157005
9,0,pressure,0.007367032580077648
10,1,chittagong,0.01150214858353138
11,1,test,0.008258400484919548
12,1,bangladesh,0.008013739250600338
13,1,news,0.007937933318316936
14,1,million,0.0076993051916360855
15,1,said,0.007022151257842779
16,1,open,0.006985773332417011
17,1,saturday,0.006920142564922571
18,1,taiwan,0.006641512271016836
19,1,fourth_quarter,0.00637312326580286
20,2,united_states,0.012606710195541382
21,2,quit,0.010964407585561275
22,2,reuters,0.009130106307566166
23,2,chicago,0.007701795548200607
24,2,pakistani,0.006577703170478344
25,2,steps,0.0062867128290236
26,2,stores,0.006065055262297392
27,2,year,0.00604914128780365
28,2,wants,0.0060272784903645515
29,2,early,0.005960716865956783
30,3,prime_minister,0.012732562609016895
31,3,people,0.01159779354929924
32,3,bosnian_serb,0.011447740718722343
33,3,northern,0.011263372376561165
34,3,saturday,0.010569095611572266
35,3,finally,0.009666436351835728
36,3,left,0.009493250399827957
37,3,many,0.009020205587148666
38,3,flows,0.007628642953932285
39,3,baghdad,0.007194651290774345
